manual_fixture_id;season;round_number;home_team_id;home_team_name;away_team_id;away_team_name;fixture_date;home_goals;away_goals;source_url;round_mapping_method;review_status
-2010001;2010;38;134;Atletico Paranaense;145;Avai;2010-12-05;1;0;https://www.futeboldomundo.com.br/campeonatos/62/edicao;missing_round;confirmed
-2010002;2010;38;135;Cruzeiro;121;Palmeiras;2010-12-05;2;1;https://www.futeboldomundo.com.br/campeonatos/62/edicao;missing_round;confirmed
-2010003;2010;38;124;Fluminense;138;Guarani Campinas;2010-12-05;1;0;https://www.futeboldomundo.com.br/campeonatos/62/edicao;missing_round;confirmed
-2010004;2010;38;151;Goias;131;Corinthians;2010-12-05;1;1;https://www.futeboldomundo.com.br/campeonatos/62/edicao;missing_round;confirmed
-2010005;2010;38;130;Gremio;120;Botafogo;2010-12-05;3;0;https://www.futeboldomundo.com.br/campeonatos/62/edicao;missing_round;confirmed
-2010006;2010;38;4655;Grêmio Barueri;119;Internacional;2010-12-02;0;3;https://www.futeboldomundo.com.br/campeonatos/62/edicao;missing_round;confirmed
-2010007;2010;38;128;Santos;127;Flamengo;2010-12-05;0;0;https://www.futeboldomundo.com.br/campeonatos/62/edicao;missing_round;confirmed
-2010008;2010;38;126;Sao Paulo;1062;Atletico-MG;2010-12-05;4;0;https://www.futeboldomundo.com.br/campeonatos/62/edicao;missing_round;confirmed
-2010009;2010;38;133;Vasco DA Gama;129;Ceara;2010-12-05;2;0;https://www.futeboldomundo.com.br/campeonatos/62/edicao;missing_round;confirmed
-2010010;2010;38;136;Vitoria;144;Atletico Goianiense;2010-12-05;0;0;https://www.futeboldomundo.com.br/campeonatos/62/edicao;missing_round;confirmed
-2013001;2013;4;133;Vasco DA Gama;1062;Atletico-MG;2013-06-05;2;0;https://www.uol.com.br/esporte/futebol/campeonatos/brasileirao/2013/jogos/;reverse_leg;confirmed
