venue_name_raw;venue_name_canonical;review_status;match_reason
Allianz Parque (São Paulo, São Paulo);Allianz Parque;approved;city_suffix
Arena Barueri (Barueri, São Paulo);Arena Barueri;approved;city_suffix
Estádio Nacional de Brasília;Arena BRB Mané Garrincha;approved;known_name
Estádio Nacional de Brasília (Brasília, Distrito Federal);Arena BRB Mané Garrincha;approved;known_name
Estadio Nacional Mane Garrincha;Arena BRB Mané Garrincha;approved;normalized_name
Arena Condá (Chapecó, Santa Catarina);Arena Condá;approved;city_suffix
Estádio Regional Índio Condá (Chapecó, Santa Catarina);Arena Condá;approved;known_name
Arena Corinthians;Neo Química Arena;approved;former_name
Arena Corinthians (São Paulo, São Paulo);Neo Química Arena;approved;former_name
Neo Quimica Arena;Neo Química Arena;approved;normalized_name
Estádio Joaquim Américo Guimarães (Curitiba, Paraná);Arena da Baixada;approved;official_name
Ligga Arena;Arena da Baixada;approved;sponsored_name
Arena De Pernambuco;Arena Pernambuco;approved;normalized_name
Itaipava Arena Pernambuco;Arena Pernambuco;approved;sponsored_name
Itaipava Arena Pernambuco (Recife, Pernambuco);Arena Pernambuco;approved;sponsored_name
Arena do Gremio;Arena do Grêmio;approved;normalized_name
Arena do Grêmio (Porto Alegre, Rio Grande do Sul);Arena do Grêmio;approved;city_suffix
Estádio Joaquim Henrique Nogueira;Arena do Jacaré;approved;official_name
Estádio Joaquim Henrique Nogueira (Sete Lagoas, Minas Gerais);Arena do Jacaré;approved;official_name
Arena Fonte Nova (Salvador, Bahia);Arena Fonte Nova;approved;city_suffix
Itaipava Arena Fonte Nova;Arena Fonte Nova;approved;sponsored_name
Itaipava Arena Fonte Nova (Salvador, Bahia);Arena Fonte Nova;approved;sponsored_name
Estádio Raimundo Sampaio;Arena Independência;approved;official_name
Estádio Raimundo Sampaio (Belo Horizonte, Minas Gerais);Arena Independência;approved;official_name
Arena Pantanal (Cuiabá, Mato Grosso);Arena Pantanal;approved;city_suffix
Barradao;Estádio Manoel Barradas;approved;nickname
Estadio Manoel Barradas;Estádio Manoel Barradas;approved;normalized_name
Estádio Manoel Barradas (Salvador, Bahia);Estádio Manoel Barradas;approved;city_suffix
Estadio Beira-Rio;Beira-Rio;approved;normalized_name
Estádio Beira-Rio;Beira-Rio;approved;known_name
Estádio Beira Rio;Beira-Rio;approved;normalized_name
Estádio José Pinheiro Borba (Beira-Rio) (Porto Alegre, Rio Grande do Sul);Beira-Rio;approved;official_name
Estádio José Pinheiro Borda;Beira-Rio;approved;official_name
Estádio José Pinheiro Borda (Porto Alegre, Rio Grande do Sul);Beira-Rio;approved;official_name
Durival Britto e Silva;Estádio Durival de Britto e Silva;approved;normalized_name
Estádio Durival de Brito e Silva;Estádio Durival de Britto e Silva;approved;normalized_name
Estádio Durival de Brito e Silva (Curitiba, Paraná);Estádio Durival de Britto e Silva;approved;normalized_name
Estádio Durival de Britto e Silva;Estádio Durival de Britto e Silva;approved;canonical
Estadio Adelmar da Costa Carvalho;Estádio Adelmar da Costa Carvalho;approved;normalized_name
Estádio Adelmar da Costa Carvalho (Recife, Pernambuco);Estádio Adelmar da Costa Carvalho;approved;city_suffix
Ilha do Retiro;Estádio Adelmar da Costa Carvalho;approved;nickname
Estádio Aderbal Ramos da Silva (Florianópolis, Santa Catarina);Estádio Aderbal Ramos da Silva;approved;city_suffix
Estádio da Ressacada;Estádio Aderbal Ramos da Silva;approved;nickname
Estádio Alberto Oliveira (Feira de Santana, Bahia);Estádio Alberto Oliveira;approved;city_suffix
Estadio Joia da Princesa;Estádio Alberto Oliveira;approved;nickname
Estadio Alfredo Jaconi;Estádio Alfredo Jaconi;approved;normalized_name
Estádio Alfredo Jaconi (Caxias do Sul, Rio Grande do Sul);Estádio Alfredo Jaconi;approved;city_suffix
Estádio Benedito Teixeira (São José do Rio Preto, São Paulo);Estádio Benedito Teixeira;approved;city_suffix
Estádio Brinco de Ouro da Princesa (Campinas, São Paulo);Estádio Brinco de Ouro da Princesa;approved;city_suffix
Estadio Castelão;Estádio Governador Plácido Aderaldo Castelo;approved;nickname
Estádio Governador Plácido Aderaldo Castelo (Fortaleza, Ceará);Estádio Governador Plácido Aderaldo Castelo;approved;city_suffix
Estádio Governador Plácido Castelo;Estádio Governador Plácido Aderaldo Castelo;approved;short_name
Estádio Cicero de Souza Marques;Estádio Cícero de Souza Marques;approved;normalized_name
Estádio Cícero Pompeu de Toledo;Morumbi;approved;official_name
Estádio Cícero Pompeu de Toledo (Morumbi);Morumbi;approved;official_name
Estádio Cícero Pompeu de Toledo (Morumbi) (São Paulo, São Paulo);Morumbi;approved;official_name
